iter	Passed	Remaining
406	5998	8739
407	6007	8716
408	6023	8703
409	6028	8674
410	6035	8648
411	6042	8623
412	6047	8594
413	6052	8566
414	6063	8547
415	6072	8524
416	6078	8497
417	6086	8473
418	6094	8451
419	6102	8427
420	6111	8405
421	6118	8380
422	6126	8356
423	6239	8475
424	6245	8449
425	6250	8421
426	6255	8394
427	6262	8369
428	6269	8345
429	6275	8319
430	6281	8293
431	6289	8268
432	6296	8244
433	6308	8227
434	6316	8204
435	6323	8180
436	6332	8157
437	6340	8135
438	6346	8109
439	6361	8096
440	6374	8080
441	6381	8056
442	6389	8034
443	6395	8008
444	6402	7984
445	6438	7997
446	6476	8012
447	6575	8102
448	6607	8108
449	6622	8093
450	6628	8068
451	6638	8048
452	6694	8083
453	6729	8093
454	6736	8069
455	6742	8043
456	6748	8018
457	6755	7995
458	6763	7971
459	6770	7948
460	6778	7925
461	6783	7899
462	6789	7874
463	6803	7859
464	6808	7833
465	6813	7807
466	6828	7793
467	6836	7771
468	6852	7758
469	6860	7735
470	6867	7712
471	6878	7694
472	6885	7671
473	6921	7680
474	6928	7657
475	6935	7635
476	7045	7725
477	7054	7704
478	7061	7680
479	7069	7658
480	7076	7635
481	7083	7612
482	7096	7596
483	7118	7589
484	7126	7567
485	7140	7552
486	7148	7530
487	7154	7506
488	7160	7482
489	7165	7458
490	7173	7436
491	7184	7417
492	7197	7401
493	7206	7381
494	7217	7363
495	7224	7340
496	7241	7328
497	7246	7305
498	7252	7281
499	7281	7281
500	7289	7260
501	7347	7289
502	7355	7268
503	7463	7345
504	7470	7322
505	7484	7307
506	7496	7289
507	7503	7267
508	7509	7243
509	7521	7226
510	7535	7211
511	7541	7187
512	7552	7169
513	7559	7147
514	7565	7124
515	7570	7101
516	7578	7079
517	7599	7071
518	7608	7051
519	7617	7031
520	7623	7008
521	7628	6985
522	7644	6971
523	7660	6958
524	7665	6935
525	7672	6913
526	7677	6891
527	7683	6868
528	7690	6847
529	7697	6826
530	7704	6805
531	7714	6786
532	7736	6778
533	7743	6757
534	7796	6776
535	7820	6770
536	7825	6747
537	7833	6726
538	7839	6705
539	7848	6685
540	7959	6752
541	7965	6731
542	7971	6708
543	7975	6685
544	7982	6664
545	7991	6645
546	8000	6625
547	8007	6604
548	8014	6583
549	8021	6563
550	8033	6546
551	8041	6526
552	8047	6504
553	8061	6490
554	8068	6469
555	8076	6449
556	8085	6430
557	8096	6413
558	8101	6391
559	8109	6371
560	8114	6350
561	8122	6330
562	8130	6310
563	8163	6310
564	8178	6297
565	8186	6277
566	8192	6256
567	8224	6255
568	8229	6233
569	8293	6256
570	8299	6235
571	8317	6223
572	8324	6203
573	8332	6184
574	8342	6166
575	8351	6147
576	8357	6127
577	8467	6181
578	8478	6164
579	8486	6145
580	8492	6124
581	8503	6107
582	8513	6089
583	8625	6144
584	8639	6128
585	8646	6108
586	8658	6091
587	8664	6070
588	8669	6049
589	8677	6030
590	8709	6027
591	8716	6007
592	8735	5995
593	8740	5973
594	8748	5954
595	8753	5933
596	8798	5939
597	8803	5917
598	8812	5899
599	8817	5878
600	8937	5933
601	8943	5912
602	8950	5892
603	9014	5909
604	9021	5889
605	9029	5870
606	9035	5849
607	9040	5829
608	9048	5809
609	9053	5788
610	9059	5767
611	9066	5748
612	9076	5730
613	9103	5722
614	9191	5754
615	9197	5733
616	9203	5713
617	9209	5692
618	9215	5672
619	9222	5652
620	9231	5634
621	9236	5613
622	9244	5594
623	9250	5573
624	9255	5553
625	9269	5537
